cardinality,distribution,method,build_cost,query_cost
1,normal,sp,3,1
1,normal,original,2,2
1,normal,rs,4,5
1,normal,cl,1,4
1,normal,mr,5,3
1,skewed,rl,1,6
1,skewed,original,3,2
1,skewed,rs,4,5
1,skewed,sp,5,3
1,skewed,cl,2,1
1,skewed,mr,6,4
1,uniform,cl,3,1
1,uniform,original,2,2
1,uniform,sp,4,3
1,uniform,rs,5,6
1,uniform,rl,1,5
1,uniform,mr,6,4
2,normal,mr,5,1
2,normal,original,2,2
2,normal,sp,3,3
2,normal,cl,1,4
2,normal,rs,4,5
2,skewed,rs,5,6
2,skewed,original,3,2
2,skewed,sp,4,3
2,skewed,rl,1,4
2,skewed,mr,6,5
2,skewed,cl,2,1
2,uniform,rl,1,1
2,uniform,rs,5,5
2,uniform,sp,4,3
2,uniform,mr,6,4
2,uniform,original,3,6
2,uniform,cl,2,2
4,normal,mr,5,1
4,normal,original,2,2
4,normal,cl,1,3
4,normal,sp,4,4
4,normal,rs,3,5
4,skewed,mr,6,1
4,skewed,sp,5,2
4,skewed,cl,2,3
4,skewed,original,3,4
4,skewed,rs,4,5
4,skewed,rl,1,6
4,uniform,mr,6,1
4,uniform,original,3,2
4,uniform,cl,2,3
4,uniform,sp,5,4
4,uniform,rs,4,5
4,uniform,rl,1,6
8,normal,cl,1,1
8,normal,sp,4,2
8,normal,original,2,3
8,normal,mr,5,4
8,normal,rs,3,5
8,skewed,original,3,1
8,skewed,cl,2,2
8,skewed,sp,5,3
8,skewed,rl,1,5
8,skewed,mr,6,4
8,skewed,rs,4,6
8,uniform,mr,6,1
8,uniform,sp,4,2
8,uniform,cl,2,3
8,uniform,original,3,4
8,uniform,rl,1,5
8,uniform,rs,5,6
16,normal,original,2,1
16,normal,sp,4,2
16,normal,cl,1,3
16,normal,mr,5,4
16,normal,rs,3,5
16,skewed,original,3,1
16,skewed,sp,5,2
16,skewed,mr,6,3
16,skewed,cl,2,4
16,skewed,rl,1,5
16,skewed,rs,4,6
16,uniform,mr,6,1
16,uniform,original,3,2
16,uniform,sp,5,3
16,uniform,cl,2,4
16,uniform,rl,1,5
16,uniform,rs,4,6
16,normal,sp,4,1
16,normal,cl,1,2
16,normal,original,2,3
16,normal,mr,5,4
16,normal,rs,3,5
32,skewed,original,3,1
32,skewed,sp,5,2
32,skewed,cl,1,3
32,skewed,mr,6,4
32,skewed,rs,4,5
32,skewed,rl,2,6
32,uniform,mr,6,1
32,uniform,rl,2,4
32,uniform,sp,5,3
32,uniform,cl,1,2
32,uniform,original,3,5
32,uniform,rs,4,6
64,normal,mr,5,1
64,normal,sp,4,2
64,normal,original,2,3
64,normal,rs,3,4
64,normal,cl,1,5
64,skewed,sp,5,1
64,skewed,original,3,2
64,skewed,rs,4,6
64,skewed,rl,2,5
64,skewed,mr,6,4
64,skewed,cl,1,3
64,uniform,mr,6,1
64,uniform,original,3,2
64,uniform,sp,5,3
64,uniform,rl,2,5
64,uniform,rs,4,6
64,uniform,cl,1,4
128,normal,mr,5,1
128,normal,cl,1,2
128,normal,sp,4,3
128,normal,original,2,4
128,normal,rs,3,5
128,skewed,original,3,1
128,skewed,mr,6,2
128,skewed,sp,5,3
128,skewed,cl,1,4
128,skewed,rl,2,5
128,skewed,rs,4,6
128,uniform,mr,6,1
128,uniform,cl,1,2
128,uniform,original,3,3
128,uniform,sp,5,4
128,uniform,rl,2,5
128,uniform,rs,4,6
200,normal,mr,5,1
200,normal,original,2,2
200,normal,sp,4,3
200,normal,cl,1,4
200,normal,rs,3,5
200,skewed,sp,5,1
200,skewed,mr,6,2
200,skewed,original,2,3
200,skewed,cl,1,4
200,skewed,rl,3,5
200,skewed,rs,4,6
200,uniform,mr,6,1
200,uniform,cl,1,2
200,uniform,rl,3,3
200,uniform,sp,5,4
200,uniform,original,2,5
200,uniform,rs,4,6
400,normal,mr,5,1
400,normal,original,2,2
400,normal,sp,4,3
400,normal,cl,1,4
400,normal,rs,3,5
400,skewed,sp,5,1
400,skewed,original,2,2
400,skewed,mr,6,3
400,skewed,cl,1,4
400,skewed,rl,3,5
400,skewed,rs,4,6
400,uniform,sp,5,1
400,uniform,mr,6,2
400,uniform,original,2,3
400,uniform,cl,1,4
400,uniform,rl,3,5
400,uniform,rs,4,6
800,normal,mr,5,1
800,normal,sp,4,2
800,normal,original,2,3
800,normal,cl,1,4
800,normal,rs,3,5
800,skewed,original,2,1
800,skewed,sp,4,2
800,skewed,mr,5,3
800,skewed,cl,1,4
800,skewed,rs,3,5
800,uniform,sp,4,1
800,uniform,original,2,2
800,uniform,mr,5,3
800,uniform,cl,1,4
800,uniform,rs,3,5
1600,normal,mr,5,1
1600,normal,original,2,2
1600,normal,sp,4,3
1600,normal,cl,1,4
1600,normal,rs,3,5
1600,skewed,mr,6,1
1600,skewed,sp,5,2
1600,skewed,original,2,3
1600,skewed,rl,3,4
1600,skewed,cl,1,5
1600,skewed,rs,4,6
1600,uniform,sp,4,1
1600,uniform,original,2,2
1600,uniform,mr,5,3
1600,uniform,cl,1,4
1600,uniform,rs,3,5
3200,normal,mr,5,1
3200,normal,sp,4,2
3200,normal,cl,1,3
3200,normal,rs,3,4
3200,normal,original,2,5
3200,skewed,mr,6,1
3200,skewed,sp,5,2
3200,skewed,rl,4,3
3200,skewed,cl,1,4
3200,skewed,rs,3,5
3200,skewed,original,2,6
3200,uniform,sp,4,1
3200,uniform,mr,5,2
3200,uniform,cl,1,3
3200,uniform,rs,3,4
3200,uniform,original,2,5
6400,normal,sp,4,1
6400,normal,mr,5,2
6400,normal,cl,1,3
6400,normal,rs,3,5
6400,normal,original,2,4
6400,skewed,mr,6,1
6400,skewed,sp,5,2
6400,skewed,cl,1,3
6400,skewed,rl,4,4
6400,skewed,rs,3,6
6400,skewed,original,2,5
6400,uniform,sp,4,1
6400,uniform,mr,5,2
6400,uniform,cl,1,3
6400,uniform,rs,3,5
6400,uniform,original,2,4
