cardinality,distribution_normal,distribution_skewed,distribution_uniform,method_cl,method_mr,method_original,method_rl,method_rs,method_sp,build_cost,query_cost
3200,1,0,0,0,0,1,0,0,0,2,5
4,0,0,1,0,0,0,0,0,1,5,4
128,0,1,0,0,1,0,0,0,0,6,2
800,1,0,0,0,0,0,0,1,0,3,5
1,0,1,0,0,0,1,0,0,0,3,2
800,0,1,0,1,0,0,0,0,0,1,4
4,0,1,0,0,0,1,0,0,0,3,4
400,0,0,1,0,0,0,0,0,1,5,1
4,0,0,1,0,0,1,0,0,0,3,2
1,0,1,0,0,0,0,0,1,0,4,3
6400,0,0,1,0,0,1,0,0,0,2,5
128,0,0,1,0,0,0,0,0,1,5,4
400,0,1,0,0,0,0,0,0,1,5,1
400,1,0,0,0,0,0,0,1,0,3,5
400,0,1,0,0,0,0,0,1,0,4,6
400,1,0,0,0,0,1,0,0,0,2,2
2,0,0,1,0,0,0,0,0,1,4,3
400,1,0,0,1,0,0,0,0,0,1,4
128,1,0,0,1,0,0,0,0,0,1,2
800,0,0,1,1,0,0,0,0,0,1,4
64,1,0,0,1,0,0,0,0,0,1,5
2,1,0,0,0,0,0,0,0,1,3,3
16,1,0,0,1,0,0,0,0,0,1,2
4,0,0,1,0,0,0,0,1,0,4,5
200,1,0,0,0,0,0,0,0,1,4,3
64,0,1,0,0,0,1,0,0,0,3,2
1600,0,0,1,0,0,0,0,1,0,3,5
1,0,0,1,0,1,0,0,0,0,6,6
128,1,0,0,0,1,0,0,0,0,5,1
16,1,0,0,0,0,1,0,0,0,2,3
3200,0,0,1,0,0,0,0,0,1,4,1
2,0,0,1,0,0,1,0,0,0,3,5
200,0,0,1,0,1,0,0,0,0,6,1
1600,0,0,1,1,0,0,0,0,0,1,4
4,0,1,0,0,0,0,1,0,0,1,6
6400,0,1,0,0,0,0,0,1,0,3,5
6400,1,0,0,0,0,1,0,0,0,2,5
4,1,0,0,0,0,0,0,0,1,4,4
3200,0,0,1,0,1,0,0,0,0,5,2
1,1,0,0,0,0,0,0,1,0,4,3
800,0,1,0,0,1,0,0,0,0,5,3
2,0,1,0,0,0,1,0,0,0,3,2
1,0,1,0,0,0,0,0,0,1,5,4
400,0,1,0,0,0,1,0,0,0,2,2
1600,0,1,0,1,0,0,0,0,0,1,5
