cardinality,distribution,method,build_cost,query_cost
1,normal,cl,0.953401,12.5076
1,normal,mr,0.0010889,11.8485
1,normal,original,0.344688,13.7958
1,normal,rs,0.336727,13.5078
1,normal,sp,0.342156,13.8426
1,skewed,cl,0.924413,12.4174
1,skewed,mr,0.00108865,11.6181
1,skewed,original,0.36467,16.245
1,skewed,rl,6.47187,18.3907
1,skewed,rs,0.33449,14.4457
1,skewed,sp,0.325864,14.1862
1,uniform,cl,0.875216,14.996
1,uniform,mr,0.00130533,12.5958
1,uniform,original,1.76556,14.4018
1,uniform,rl,8.01249,13.0464
1,uniform,rs,0.330078,13.0688
1,uniform,sp,0.340207,13.9325
2,normal,cl,1.05949,14.0329
2,normal,original,0.386744,15.0277
2,normal,rs,0.351364,13.4623
2,normal,sp,0.35326,14.5564
2,skewed,cl,1.08446,12.955
2,skewed,mr,0.00125399,13.085
2,skewed,original,0.378791,16.3961
2,skewed,rl,6.1569,15.3061
2,skewed,rs,0.342718,17.7106
2,skewed,sp,0.351515,15.5277
2,uniform,cl,0.992273,12.6889
2,uniform,mr,0.00129716,16.0753
2,uniform,original,0.387276,14.8975
2,uniform,rl,6.03029,17.2636
2,uniform,rs,0.349829,17.1552
2,uniform,sp,0.353524,16.7379
4,normal,cl,1.38717,17.9372
4,normal,mr,0.00228485,18.8738
4,normal,original,0.46483,18.687
4,normal,rs,0.369577,14.8058
4,normal,sp,0.366614,17.3743
4,skewed,cl,1.10444,19.5308
4,skewed,mr,0.00159987,20.1844
4,skewed,original,0.518022,16.3094
4,skewed,rl,6.03091,14.7429
4,skewed,rs,0.365639,14.9724
4,skewed,sp,0.362872,20.0456
4,uniform,cl,1.63701,17.5889
4,uniform,mr,0.00186338,24.3754
4,uniform,original,0.485882,19.7212
4,uniform,rl,6.08598,15.0824
4,uniform,rs,0.36853,15.5679
4,uniform,sp,0.366927,17.1286
8,normal,cl,2.19419,21.3132
8,normal,mr,0.00315776,18.565
8,normal,original,0.574225,19.4773
8,normal,rs,0.411539,16.5394
8,normal,sp,0.395124,19.5851
8,skewed,cl,1.84031,20.9372
8,skewed,mr,0.00230887,17.8005
8,skewed,original,0.63801,23.2551
8,skewed,rl,6.42025,17.8568
8,skewed,rs,0.414372,16.3473
8,skewed,sp,0.400929,20.0305
8,uniform,cl,2.31675,20.7128
8,uniform,original,0.631624,20.5432
8,uniform,rl,6.00405,18.4007
8,uniform,rs,0.395037,16.5142
8,uniform,sp,0.397193,20.7472
16,normal,cl,3.64184,21.2042
16,normal,mr,0.00388917,20.7905
16,normal,original,0.809081,21.9975
16,normal,rs,0.479614,16.8556
16,normal,sp,0.463227,21.8402
